factor,hold_day,mean_ic,std_ic,pos_pct,days,icir
risk_reward,5,0.25587511238392674,0.10011247871379177,100.0,238,2.555876307042997
price_concentration,20,0.0596285016326,0.1092166961044337,65.91928251121077,223,0.5459650745668304
gap_open,5,0.021150752624918258,0.08263571878093377,63.4453781512605,238,0.2559516990587161
amp_chg_ratio,20,0.013803366199369843,0.06326692655570618,62.78026905829597,223,0.21817665170151826
lower_shadow,20,0.014508704765060042,0.0671628034429513,60.53811659192825,223,0.2160229177655437
upper_shadow,5,0.007055740333699369,0.07201514378273627,52.10084033613446,238,0.09797578624554237
up_days,1,0.0007274377865001258,0.021498178807294332,49.528301886792455,212,0.03383718188506769
dn_days,20,0.0004571003128715595,0.02609458265847541,51.12107623318386,223,0.017517057806751134
golden_cross,1,-0.0036745115861975316,0.045190784762487064,44.214876033057855,242,-0.0813110815735988
intra_pos,20,-0.008010401504353691,0.09319585648702812,49.327354260089685,223,-0.08595233528937689
kbar_mid,20,-0.008010401504353691,0.09319585648702812,49.327354260089685,223,-0.08595233528937689
chg_1d,10,-0.011639832748657724,0.11348513162805784,47.21030042918455,233,-0.10256702866421942
vola_ratio_5_10,3,-0.00803117223798586,0.07220152443132713,44.583333333333336,240,-0.1112327239797344
chg_accel_10d,1,-0.013237841827182694,0.11145034206037446,44.214876033057855,242,-0.11877793807049547
trend_strength,1,-0.009796609992622786,0.0675533687925685,39.66942148760331,242,-0.14502030272841854
vp_trend_align,1,-0.01694534051531013,0.09238715033227154,43.80165289256198,242,-0.18341663807538172
chg_3d,1,-0.024326056388313946,0.12700197972431562,43.388429752066116,242,-0.19154076527876765
vola_shrink,1,-0.015866370829408928,0.07404321521411146,42.97520661157025,242,-0.21428527628801633
vola_60d,1,-0.03877445277013774,0.17728144776983504,42.97520661157025,242,-0.2187169230503956
chg_5d,1,-0.03187545161298444,0.12625988399770446,40.49586776859504,242,-0.25245905986705935
vp_divergence,1,-0.014414283758868886,0.057058244818552276,40.082644628099175,242,-0.2526240301416025
price_pos_60d,1,-0.028390962662039516,0.11179072659386567,39.66942148760331,242,-0.2539652753594091
chg_10d,1,-0.033399108488639966,0.12085502698948572,38.429752066115704,242,-0.2763567997179435
boll_pos,1,-0.034502676823691986,0.11941321024742595,37.60330578512397,242,-0.2889351751971321
chg_60d,1,-0.037614504056201994,0.1277878402223741,38.429752066115704,242,-0.2943511995409415
atr_pct,1,-0.051690958010046965,0.1754242569537613,40.909090909090914,242,-0.2946625450075116
rsi_14,1,-0.033042367475801325,0.1113453059305398,36.36363636363637,242,-0.29675581920277844
vola_20d,1,-0.05033199723543484,0.16537046341078127,41.32231404958678,242,-0.3043590505664234
rs_vola_std,1,-0.03396012621814858,0.10904813385144534,37.60330578512397,242,-0.3114232680442928
ma5_ma20,1,-0.0372576937299415,0.11901674238483836,35.12396694214876,242,-0.3130458201373842
chg_30d,1,-0.037590167524986826,0.11981251856248869,38.01652892561984,242,-0.31374156871079817
vola_10d,1,-0.05313962533225278,0.15321841688858273,36.77685950413223,242,-0.34682270193990333
close_ma20,1,-0.04304985166940852,0.12310642280769879,35.9504132231405,242,-0.34969622776429404
rel_ma60,1,-0.04515244243257238,0.12608517239624487,36.77685950413223,242,-0.35811064516510216
close_ma60,1,-0.04515244243257238,0.12608517239624487,36.77685950413223,242,-0.35811064516510216
vola_ratio_5_60,1,-0.03241308108496579,0.08955344207323544,32.231404958677686,242,-0.3619412088980216
close_ma120,1,-0.044574241585605516,0.12285340093658521,37.60330578512397,242,-0.3628246450304942
chg_20d,1,-0.04171779086988479,0.11162310825965042,32.231404958677686,242,-0.37373794297900725
vola_5d,1,-0.050728061773932125,0.13465670219025747,35.12396694214876,242,-0.3767214030108807
vol_ratio,1,-0.036171532320097836,0.091088313080823,33.88429752066116,242,-0.39710398729201074
vp_corr_20d,1,-0.03165584424020476,0.07960936908945423,34.29752066115703,242,-0.39763968239258635
kbar_len,1,-0.05983114756361185,0.13743582816667027,33.47107438016529,242,-0.4353387931060729
vol_spike,3,-0.026463809398655985,0.03959332086283351,22.5,240,-0.6683907492967514
